epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9222,1.55736,4.26655,1.17719,0.00333,1,0.22546,0.09734,1.31912,4.29498,0.9917,0.00016,0.00016,0.00016
2,41.0023,1.41123,2.76045,1.0374,0.00333,1,0.90087,0.49667,1.02938,3.83349,0.92894,0.000336634,0.000336634,0.000336634
3,61.0459,1.24275,2.05434,1.01848,0.00333,1,0.40453,0.19211,1.05466,3.91537,0.96561,0.000509704,0.000509704,0.000509704
4,81.0076,1.25408,1.97949,1.08974,0.00333,1,0.07549,0.05471,1.11714,3.97284,1.01117,0.00067921,0.00067921,0.00067921
5,100.911,1.30565,1.85021,1.1428,0.00333,1,0.36839,0.22101,1.01166,3.73102,0.98013,0.000845152,0.000845152,0.000845152
6,120.706,1.258,1.76321,1.12824,0.00333,1,0.43518,0.25667,1.05698,3.70412,1.02623,0.00100753,0.00100753,0.00100753
7,140.677,1.18445,1.71509,1.05787,1,0.13901,0.52134,0.36049,1.08498,3.46155,1.04255,0.00116634,0.00116634,0.00116634
8,160.512,1.16179,1.74975,1.03425,0.00333,1,0.23297,0.16744,1.07121,3.51383,1.02399,0.00132159,0.00132159,0.00132159
9,180.296,1.08951,2.05034,1.03869,0.91493,0.56691,0.71872,0.49851,1.08467,2.97806,1.04951,0.00147328,0.00147328,0.00147328
10,200.193,1.1527,1.60274,1.05222,0.97275,1,0.995,0.62587,1.20301,2.40004,1.09191,0.0016214,0.0016214,0.0016214
11,220.118,1.06982,1.57977,1.06648,1,0.97728,0.995,0.64272,1.15609,2.3746,1.13425,0.00176596,0.00176596,0.00176596
12,239.933,1.158,1.74574,1.09608,0.97957,1,0.995,0.71039,1.16904,1.94509,1.10947,0.0017822,0.0017822,0.0017822
13,259.851,1.15441,1.55407,1.06097,0.97771,1,0.995,0.65026,1.14798,1.84182,1.05778,0.0017624,0.0017624,0.0017624
14,280.024,1.12745,1.63738,1.06798,0.93825,1,0.9795,0.65705,1.05091,1.96673,1.05783,0.0017426,0.0017426,0.0017426
15,300.394,1.17312,1.4678,1.05663,0.94395,1,0.9665,0.71602,0.95865,1.67936,1.03506,0.0017228,0.0017228,0.0017228
16,320.459,1.13052,1.36605,1.0982,0.94231,1,0.969,0.71673,0.95633,1.37837,1.03235,0.001703,0.001703,0.001703
17,340.324,1.0099,1.21204,1.02074,0.99562,1,0.995,0.72635,0.92941,1.50508,1.03916,0.0016832,0.0016832,0.0016832
18,360.12,1.06746,1.45513,1.05622,0.99533,1,0.995,0.72028,1.01708,1.93602,1.04619,0.0016634,0.0016634,0.0016634
19,379.946,1.11841,1.31725,1.05721,0.8577,1,0.97381,0.72186,0.97942,1.54236,1.03187,0.0016436,0.0016436,0.0016436
20,399.724,1.02556,1.22641,1.03464,0.89013,1,0.98548,0.70668,0.91062,1.43172,1.00643,0.0016238,0.0016238,0.0016238
21,419.541,1.07494,1.21287,1.06248,0.99383,1,0.995,0.71013,0.90719,1.51525,1.02627,0.001604,0.001604,0.001604
22,439.791,1.09555,1.28061,1.06169,0.98524,1,0.995,0.69209,0.93316,1.60228,1.05068,0.0015842,0.0015842,0.0015842
23,459.752,1.04422,1.18422,1.07047,0.89878,1,0.97937,0.72416,0.88408,1.52366,1.01777,0.0015644,0.0015644,0.0015644
24,479.65,1.05854,1.17407,1.02285,0.89984,1,0.9477,0.70965,0.9623,1.42856,1.0255,0.0015446,0.0015446,0.0015446
25,499.582,1.02748,1.1593,1.01838,0.99349,1,0.995,0.70949,0.91907,1.39961,0.99928,0.0015248,0.0015248,0.0015248
26,519.587,1.06639,1.09895,0.99724,0.99733,1,0.995,0.71227,0.99092,1.27574,1.03954,0.001505,0.001505,0.001505
27,539.698,1.02679,1.03833,1.03152,0.99654,1,0.995,0.73876,0.95523,1.19517,1.02402,0.0014852,0.0014852,0.0014852
28,559.502,1.00744,0.9941,1.0151,0.99634,1,0.995,0.71605,1.00593,1.14068,1.03239,0.0014654,0.0014654,0.0014654
29,579.214,1.00142,0.95772,1.0047,0.99584,1,0.995,0.7338,0.90787,1.10832,1.01334,0.0014456,0.0014456,0.0014456
30,598.972,0.97062,0.9163,1.01372,0.99389,1,0.995,0.76208,0.80911,1.06863,0.99862,0.0014258,0.0014258,0.0014258
31,618.919,0.95304,0.95362,1.00065,0.99139,1,0.995,0.78151,0.8147,1.1084,1.0003,0.001406,0.001406,0.001406
32,638.963,0.97834,0.99877,1.00981,0.99094,1,0.995,0.76893,0.80822,1.03899,1.00174,0.0013862,0.0013862,0.0013862
33,658.869,0.99452,0.97106,0.99189,0.95333,1,0.995,0.76974,0.74906,0.99732,0.96789,0.0013664,0.0013664,0.0013664
34,678.914,0.92383,0.94792,0.98368,0.99355,1,0.995,0.78338,0.79908,0.96708,0.984,0.0013466,0.0013466,0.0013466
